@relation WallFollowingRobotNavigation_2

@attribute SD_front numeric
@attribute SD_left numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
1.687,0.445,SlightRightTurn
1.687,0.449,SlightRightTurn
1.687,0.449,SlightRightTurn
1.687,0.449,SlightRightTurn
1.687,0.449,SlightRightTurn
1.686,0.446,SlightRightTurn
1.684,0.451,SlightRightTurn
1.680,0.453,SlightRightTurn
0.753,0.457,SharpRightTurn
0.744,0.462,SharpRightTurn
0.735,0.467,SharpRightTurn
0.729,0.469,SharpRightTurn
0.723,0.477,SharpRightTurn
0.757,0.480,SharpRightTurn
0.760,0.483,SharpRightTurn
0.757,0.482,SharpRightTurn
0.761,0.482,SharpRightTurn
0.762,0.482,SharpRightTurn
0.765,0.482,SharpRightTurn
0.812,0.481,SharpRightTurn
0.814,0.480,SharpRightTurn
0.811,0.479,SharpRightTurn
0.908,0.478,SlightRightTurn
1.270,0.477,SlightRightTurn
1.639,0.476,SlightRightTurn
1.638,0.475,SlightRightTurn
1.637,0.474,SlightRightTurn
1.636,0.475,SlightRightTurn
1.635,0.475,SlightRightTurn
1.635,0.475,SlightRightTurn
1.635,0.475,SlightRightTurn
1.635,0.475,SlightRightTurn
1.633,0.475,SlightRightTurn
1.629,0.474,SlightRightTurn
1.624,0.473,SlightRightTurn
1.618,0.473,SlightRightTurn
1.611,0.473,SlightRightTurn
1.609,0.472,SlightRightTurn
1.603,0.471,SlightRightTurn
0.576,0.471,SharpRightTurn
1.581,0.471,SlightRightTurn
1.572,0.471,SlightRightTurn
1.562,0.470,SlightRightTurn
1.553,0.470,SlightRightTurn
1.179,0.470,SlightRightTurn
1.167,0.470,SlightRightTurn
1.159,0.471,SlightRightTurn
1.151,0.471,SlightRightTurn
1.143,0.471,SlightRightTurn
1.136,0.471,SlightRightTurn
1.128,0.472,SlightRightTurn
1.477,0.472,SlightRightTurn
1.129,0.473,SlightRightTurn
1.457,0.473,SlightRightTurn
1.448,0.474,SlightRightTurn
1.438,0.475,SlightRightTurn
1.428,0.486,SlightRightTurn
1.418,0.485,SlightRightTurn
1.409,0.486,SlightRightTurn
1.399,0.485,SlightRightTurn
1.390,0.486,SlightRightTurn
1.380,0.487,SlightRightTurn
1.370,0.489,SlightRightTurn
1.361,0.491,SlightRightTurn
1.354,0.494,SlightRightTurn
1.344,0.496,MoveForward
1.330,0.498,MoveForward
1.320,0.499,MoveForward
1.310,0.501,MoveForward
1.298,0.504,MoveForward
1.285,0.507,MoveForward
1.271,0.511,MoveForward
1.256,0.515,MoveForward
1.239,0.520,MoveForward
1.223,0.525,MoveForward
1.206,0.530,MoveForward
1.188,0.535,MoveForward
1.170,0.541,MoveForward
1.152,0.548,MoveForward
1.133,0.554,MoveForward
1.114,0.560,MoveForward
1.094,0.567,MoveForward
1.075,0.573,MoveForward
1.056,0.580,MoveForward
1.037,0.586,MoveForward
1.019,0.593,MoveForward
1.001,0.599,MoveForward
0.983,0.606,MoveForward
0.966,0.612,MoveForward
0.948,0.619,MoveForward
0.931,0.625,MoveForward
0.914,0.632,MoveForward
0.898,0.638,SharpRightTurn
0.881,0.645,SharpRightTurn
0.864,0.652,SharpRightTurn
0.847,0.658,SharpRightTurn
0.830,0.660,SharpRightTurn
0.815,0.662,SharpRightTurn
0.801,0.667,SharpRightTurn
0.792,0.670,SharpRightTurn
0.792,0.665,SharpRightTurn
0.795,0.666,SharpRightTurn
0.796,0.665,SharpRightTurn
0.796,0.665,SharpRightTurn
0.796,0.665,SharpRightTurn
0.799,0.664,SharpRightTurn
0.799,0.664,SharpRightTurn
0.798,0.664,SharpRightTurn
0.799,0.664,SharpRightTurn
0.798,0.663,SharpRightTurn
0.797,0.666,SharpRightTurn
0.792,0.671,SharpRightTurn
0.791,0.684,SharpRightTurn
0.790,0.674,SharpRightTurn
0.789,0.660,SharpRightTurn
0.788,0.660,SharpRightTurn
0.787,0.659,SharpRightTurn
0.786,0.661,SharpRightTurn
0.785,0.665,SharpRightTurn
0.788,0.717,SharpRightTurn
0.787,0.833,SharpRightTurn
0.790,0.779,SharpRightTurn
0.814,0.668,SharpRightTurn
0.807,0.809,SharpRightTurn
0.786,0.805,SharpRightTurn
0.785,0.804,SharpRightTurn
0.787,0.854,SharpRightTurn
0.791,0.800,SharpRightTurn
0.794,0.786,SharpRightTurn
0.814,0.780,SharpRightTurn
0.880,0.776,SharpRightTurn
1.593,0.774,MoveForward
1.593,0.770,MoveForward
1.593,0.765,MoveForward
1.593,0.765,MoveForward
1.592,0.763,MoveForward
1.591,0.763,MoveForward
1.590,0.763,MoveForward
1.588,0.763,MoveForward
1.586,0.758,MoveForward
1.576,0.759,MoveForward
1.566,0.753,MoveForward
1.555,0.751,MoveForward
0.932,0.745,MoveForward
1.525,0.739,MoveForward
1.508,0.733,MoveForward
1.494,0.727,MoveForward
1.473,0.721,MoveForward
1.454,0.715,MoveForward
1.438,0.707,MoveForward
1.419,0.700,MoveForward
1.399,0.694,MoveForward
1.379,0.690,MoveForward
1.358,0.683,MoveForward
1.338,0.673,MoveForward
1.317,0.666,MoveForward
0.891,0.663,SharpRightTurn
1.276,0.652,MoveForward
1.255,0.645,MoveForward
1.233,0.638,MoveForward
1.212,0.627,MoveForward
1.193,0.623,MoveForward
1.174,0.613,MoveForward
1.156,0.607,MoveForward
1.138,0.600,MoveForward
