@relation WallFollowingRobotNavigation_4

@attribute SD_front numeric
@attribute SD_left numeric
@attribute SD_right numeric
@attribute SD_back numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
1.687,0.445,2.332,0.429,SlightRightTurn
1.687,0.449,2.332,0.429,SlightRightTurn
1.687,0.449,2.334,0.429,SlightRightTurn
1.687,0.449,2.334,0.429,SlightRightTurn
1.687,0.449,2.334,0.429,SlightRightTurn
1.686,0.446,2.334,0.430,SlightRightTurn
1.684,0.451,2.330,0.432,SlightRightTurn
1.680,0.453,2.327,0.436,SlightRightTurn
0.753,0.457,2.323,0.442,SharpRightTurn
0.744,0.462,2.321,0.449,SharpRightTurn
0.735,0.467,2.315,0.457,SharpRightTurn
0.729,0.469,2.310,0.465,SharpRightTurn
0.723,0.477,2.303,0.472,SharpRightTurn
0.757,0.480,2.304,0.476,SharpRightTurn
0.760,0.483,2.306,0.476,SharpRightTurn
0.757,0.482,2.307,0.474,SharpRightTurn
0.761,0.482,1.700,0.473,SharpRightTurn
0.762,0.482,1.697,0.473,SharpRightTurn
0.765,0.482,1.697,0.473,SharpRightTurn
0.812,0.481,1.702,0.473,SharpRightTurn
0.814,0.480,1.700,0.473,SharpRightTurn
0.811,0.479,1.698,0.473,SharpRightTurn
0.908,0.478,1.700,0.473,SlightRightTurn
1.270,0.477,1.705,0.473,SlightRightTurn
1.639,0.476,1.707,0.470,SlightRightTurn
1.638,0.475,1.712,0.465,SlightRightTurn
1.637,0.474,1.715,0.465,SlightRightTurn
1.636,0.475,1.707,0.470,SlightRightTurn
1.635,0.475,1.706,0.468,SlightRightTurn
1.635,0.475,1.706,0.468,SlightRightTurn
1.635,0.475,1.709,0.468,SlightRightTurn
1.635,0.475,1.709,0.468,SlightRightTurn
1.633,0.475,1.707,0.469,SlightRightTurn
1.629,0.474,1.708,0.471,SlightRightTurn
1.624,0.473,1.704,0.474,SlightRightTurn
1.618,0.473,1.695,0.478,SlightRightTurn
1.611,0.473,2.596,0.483,SlightRightTurn
1.609,0.472,2.589,0.488,SlightRightTurn
1.603,0.471,1.682,0.494,SlightRightTurn
0.576,0.471,1.670,0.500,SharpRightTurn
1.581,0.471,1.662,0.506,SlightRightTurn
1.572,0.471,1.654,0.513,SlightRightTurn
1.562,0.470,1.646,0.523,SlightRightTurn
1.553,0.470,1.637,0.530,SlightRightTurn
1.179,0.470,1.631,0.534,SlightRightTurn
1.167,0.470,2.541,0.545,SlightRightTurn
1.159,0.471,2.535,0.552,SlightRightTurn
1.151,0.471,2.529,0.582,SlightRightTurn
1.143,0.471,2.526,0.582,SlightRightTurn
1.136,0.471,2.523,0.578,SlightRightTurn
1.128,0.472,2.518,0.588,SlightRightTurn
1.477,0.472,2.508,0.585,SlightRightTurn
1.129,0.473,2.502,0.589,SlightRightTurn
1.457,0.473,2.502,0.597,SlightRightTurn
1.448,0.474,2.901,0.605,SlightRightTurn
1.438,0.475,2.895,0.613,SlightRightTurn
1.428,0.486,2.890,0.617,SlightRightTurn
1.418,0.485,2.885,0.629,SlightRightTurn
1.409,0.486,2.879,0.575,SlightRightTurn
1.399,0.485,2.876,0.578,SlightRightTurn
1.390,0.486,2.871,0.650,SlightRightTurn
1.380,0.487,2.862,0.658,SlightRightTurn
1.370,0.489,2.857,0.666,SlightRightTurn
1.361,0.491,2.852,0.674,SlightRightTurn
1.354,0.494,2.849,0.683,SlightRightTurn
1.344,0.496,2.843,0.692,MoveForward
1.330,0.498,2.836,0.701,MoveForward
1.320,0.499,2.830,0.710,MoveForward
1.310,0.501,2.824,0.719,MoveForward
1.298,0.504,2.816,0.730,MoveForward
1.285,0.507,2.810,0.742,MoveForward
1.271,0.511,2.800,0.756,MoveForward
1.256,0.515,2.789,0.771,MoveForward
1.239,0.520,2.777,0.787,MoveForward
1.223,0.525,2.766,0.807,MoveForward
1.206,0.530,2.753,0.611,MoveForward
1.188,0.535,2.741,0.621,MoveForward
1.170,0.541,2.727,0.859,MoveForward
1.152,0.548,2.713,0.878,MoveForward
1.133,0.554,2.699,0.897,MoveForward
1.114,0.560,2.685,0.917,MoveForward
1.094,0.567,2.671,0.937,MoveForward
1.075,0.573,2.656,0.956,MoveForward
1.056,0.580,2.643,0.975,MoveForward
1.037,0.586,2.629,0.994,MoveForward
1.019,0.593,2.612,1.013,MoveForward
1.001,0.599,2.599,1.031,MoveForward
0.983,0.606,2.586,1.052,MoveForward
0.966,0.612,2.573,1.071,MoveForward
0.948,0.619,2.561,1.088,MoveForward
0.931,0.625,2.548,1.106,MoveForward
0.914,0.632,2.536,1.123,MoveForward
0.898,0.638,2.524,1.137,SharpRightTurn
0.881,0.645,2.511,1.155,SharpRightTurn
0.864,0.652,2.499,1.172,SharpRightTurn
0.847,0.658,2.487,1.193,SharpRightTurn
0.830,0.660,2.475,1.211,SharpRightTurn
0.815,0.662,2.464,1.226,SharpRightTurn
0.801,0.667,2.454,1.241,SharpRightTurn
0.792,0.670,2.450,1.249,SharpRightTurn
0.792,0.665,2.452,1.248,SharpRightTurn
0.795,0.666,2.469,1.241,SharpRightTurn
0.796,0.665,2.491,1.239,SharpRightTurn
0.796,0.665,2.495,1.239,SharpRightTurn
0.796,0.665,2.484,1.240,SharpRightTurn
0.799,0.664,2.478,1.239,SharpRightTurn
0.799,0.664,2.463,1.239,SharpRightTurn
0.798,0.664,2.467,1.239,SharpRightTurn
0.799,0.664,2.464,1.239,SharpRightTurn
0.798,0.663,2.469,1.242,SharpRightTurn
0.797,0.666,2.741,0.719,SharpRightTurn
0.792,0.671,1.354,0.717,SharpRightTurn
0.791,0.684,1.353,0.714,SharpRightTurn
0.790,0.674,1.353,0.733,SharpRightTurn
0.789,0.660,2.749,0.732,SharpRightTurn
0.788,0.660,2.747,0.805,SharpRightTurn
0.787,0.659,2.749,0.696,SharpRightTurn
0.786,0.661,2.748,0.689,SharpRightTurn
0.785,0.665,1.353,0.766,SharpRightTurn
0.788,0.717,1.346,0.740,SharpRightTurn
